Model,Noise,Level,mAP@50,Precision,Recall,F1,Latency(ms)
YOLOv10n,Poisson,0.0,0.8084693381104503,0.9181962060175053,0.6610169491525424,0.7686649120236335,111.35013999999501
YOLOv10n,Poisson,0.01,0.3886302045509562,0.6944444444444444,0.0847457627118644,0.15105720794833252,111.75480199999583
YOLOv10n,Poisson,0.05,0.6519162209996856,0.8258064516129032,0.43389830508474575,0.5688884372843092,109.18754600003012
YOLOv10n,Poisson,0.1,0.7495028608291969,0.8781725888324873,0.5864406779661017,0.7032515523583819,106.88810799998464
YOLOv10n,Poisson,1.0,0.8050507638030416,0.9030626488369985,0.6576271186440678,0.7610456857744687,120.12568600002851
YOLOv10n,Poisson,10.0,0.8135744420187797,0.8809995662954477,0.6847457627118644,0.7705727406741132,107.46274600001925
YOLOv10s,Gaussian,0.0,0.8666099421296181,0.9011857707509882,0.7728813559322034,0.8321162912584887,439.5915149999928
YOLOv10s,Gaussian,0.1,0.7799735608034689,0.8205266201120279,0.6664096909441009,0.7354807593494079,241.0378219999984
YOLOv10s,Gaussian,0.2,0.725881704659525,0.8518518518518519,0.5457627118644067,0.6652887801809977,242.1899090000079
YOLOv10s,Gaussian,0.5,0.44846233664254864,0.8571428571428571,0.04067796610169491,0.07766981640335982,242.43577499997627
YOLOv10s,Gaussian,1.0,0.0,0.0,0.0,0.0,273.91316400000505
YOLOv10s,Gaussian,2.0,0.0,0.0,0.0,0.0,244.7252859999935
YOLOv10s,Salt_Pepper,0.0,0.8666099421296181,0.9011857707509882,0.7728813559322034,0.8321162912584887,248.45975100000942
YOLOv10s,Salt_Pepper,0.01,0.7674379915953574,0.9357457988754291,0.5728813559322034,0.7106738931781026,246.58252099998208
YOLOv10s,Salt_Pepper,0.05,0.6734668257522987,0.748792270531401,0.5254237288135594,0.6175293958433035,245.20988000000216
YOLOv10s,Salt_Pepper,0.1,0.6272878630431936,0.7884615384615384,0.41694915254237286,0.545454092949771,246.4073769999959
YOLOv10s,Salt_Pepper,0.3,0.3027421602787456,0.5714285714285714,0.02711864406779661,0.051779848765867546,245.8767269999953
YOLOv10s,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,245.45102300002327
YOLOv10s,Poisson,0.0,0.8666099421296181,0.9011857707509882,0.7728813559322034,0.8321162912584887,241.51929499999824
YOLOv10s,Poisson,0.01,0.4513726870999889,0.7205882352941176,0.16610169491525423,0.2699721473187567,246.58318699999654
YOLOv10s,Poisson,0.05,0.754158592825101,0.8860353728684751,0.5796610169491525,0.7008270177158024,249.6905340000012
YOLOv10s,Poisson,0.1,0.7781520475908003,0.8737797870584127,0.6336007851470895,0.7345552968593551,246.9415669999944
YOLOv10s,Poisson,1.0,0.8455124661849891,0.8795180722891566,0.7423728813559322,0.8051465623989329,241.5009949999876
YOLOv10s,Poisson,10.0,0.8665172122567949,0.9009878706939289,0.7711705334185938,0.8310395469928115,245.12016200002108
YOLO11n,Gaussian,0.0,0.8427207604558528,0.8604651162790697,0.752542372881356,0.8028928114610571,126.14051399999882
YOLO11n,Gaussian,0.1,0.7405912806118409,0.8130841121495327,0.5898305084745763,0.6836930293618213,112.40926399997988
YOLO11n,Gaussian,0.2,0.5821254600582311,0.808,0.3423728813559322,0.48095196286884423,112.59074400000827
YOLO11n,Gaussian,0.5,0.0,0.0,0.0,0.0,116.58320999998978
